kind,etag,id,snippet.channelId,snippet.videoId,snippet.topLevelComment.kind,snippet.topLevelComment.etag,snippet.topLevelComment.id,snippet.topLevelComment.snippet.channelId,snippet.topLevelComment.snippet.videoId,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.authorDisplayName,snippet.topLevelComment.snippet.authorProfileImageUrl,snippet.topLevelComment.snippet.authorChannelUrl,snippet.topLevelComment.snippet.authorChannelId.value,snippet.topLevelComment.snippet.canRate,snippet.topLevelComment.snippet.viewerRating,snippet.topLevelComment.snippet.likeCount,snippet.topLevelComment.snippet.publishedAt,snippet.topLevelComment.snippet.updatedAt,snippet.canReply,snippet.totalReplyCount,snippet.isPublic,replies.comments,snippet.textDisplay,snippet.textOriginal,snippet.parentId,snippet.authorDisplayName,snippet.authorProfileImageUrl,snippet.authorChannelUrl,snippet.authorChannelId.value,snippet.canRate,snippet.viewerRating,snippet.likeCount,snippet.publishedAt,snippet.updatedAt
youtube#commentThread,2m57IGE744gn0sx9yazmSvchxOg,UgzlDqXVO3ktqDWSjWN4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,J5dH-jKp-ac,youtube#comment,twA1lqrCvztWcHi2hSaZg7OKFew,UgzlDqXVO3ktqDWSjWN4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,J5dH-jKp-ac,"Malayaaaa pertenecer a la élite Iluminati perros, jajaja;<br>Les saluda un Guatemalteco y no, no tenemos el secreto para dejar de ser reptilianos 😂","Malayaaaa pertenecer a la élite Iluminati perros, jajaja;
Les saluda un Guatemalteco y no, no tenemos el secreto para dejar de ser reptilianos 😂",@AlexGuzman06,https://yt3.ggpht.com/ytc/AIdro_nX6uF4gU8Lo_Uy7QCzyRLukJBUW3LQtAg2LFIdS9uk3TzTi81ldpp-mp8bVl_n17DE1Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@AlexGuzman06,UCbD-A6TqrMwCWcNIBb9c0GA,True,none,0.0,2024-04-02T16:54:22Z,2024-04-02T16:54:22Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,_UDCSRTeR0nfwwwtni0gDeXUUeM,UgwV9NfpS2E_tYNeuIh4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,J5dH-jKp-ac,youtube#comment,eNdbz5jjnmmHjOguV8tJmPL9coU,UgwV9NfpS2E_tYNeuIh4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,J5dH-jKp-ac,Si los sapotecas sintetitizaban moleculas wasssh estaban como 2000 años mas cerca del iphone jajajaja,Si los sapotecas sintetitizaban moleculas wasssh estaban como 2000 años mas cerca del iphone jajajaja,@Taller01digital,https://yt3.ggpht.com/ytc/AIdro_nPDM-4L8XK5rjibJNEi60tQ5mzuiP2drJv-JuyNMeHkw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Taller01digital,UCDuzDNikY_fKtFw5kfmOwfA,True,none,1.0,2024-04-02T16:51:45Z,2024-04-02T16:51:45Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,N5pUMKM0bI8xFq1WgGkaN1EcAQA,Ugx-XgdsV8AwWYFIXGd4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,J5dH-jKp-ac,youtube#comment,2_fBUdDkXbesQDhL5ZbE5BiQqzE,Ugx-XgdsV8AwWYFIXGd4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,J5dH-jKp-ac,"Hagan un episodio de los Mormones, su historia es muy volada y interesante. Saludos de Argentina 💕","Hagan un episodio de los Mormones, su historia es muy volada y interesante. Saludos de Argentina 💕",@andy.s.279,https://yt3.ggpht.com/ytc/AIdro_k0TXZXgyKpWOYMVzs7u3MBtOi40WGajrIW9fg3_rSsM236=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@andy.s.279,UC-e_euzjTbeZDXtLult3D6Q,True,none,13.0,2024-04-02T16:25:38Z,2024-04-02T16:25:38Z,True,1.0,True,"[{'kind': 'youtube#comment', 'etag': 'SRllJw9VCQKM-Y4FVL6YTytxrTE', 'id': 'Ugx-XgdsV8AwWYFIXGd4AaABAg.A1jWHIsHALZA1miAWL6fhp', 'snippet': {'channelId': 'UCeYSnd34IPe57sM8hkjWhrw', 'videoId': 'J5dH-jKp-ac', 'textDisplay': 'Escúchate el capítulo de los mormones en: herejes el potcast, muy bueno', 'textOriginal': 'Escúchate el capítulo de los mormones en: herejes el potcast, muy bueno', 'parentId': 'Ugx-XgdsV8AwWYFIXGd4AaABAg', 'authorDisplayName': '@melissaaltamirano4443', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AIdro_lTIlqHZ5sahHFU5ykvZ3AT5SJNCsyZs2DbFshcIBw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/@melissaaltamirano4443', 'authorChannelId': {'value': 'UCFi3Bd0nhy6NDOpAH00x9hQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2024-04-03T22:16:01Z', 'updatedAt': '2024-04-03T22:16:01Z'}}]",,,,,,,,,,,,
youtube#commentThread,Rc7B61dwQMwCQkA1fIXhXuRrfpA,Ugyw5_ZslNeaqNrxQBh4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,J5dH-jKp-ac,youtube#comment,nQv1h_mHfXhmXObY5xX5TidPDvs,Ugyw5_ZslNeaqNrxQBh4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,J5dH-jKp-ac,Jajajaja porque me gustan las tunas.... Aunque me extriño!!! Grande el tunas! Fififuifuidiudiufididififi,Jajajaja porque me gustan las tunas.... Aunque me extriño!!! Grande el tunas! Fififuifuidiudiufididififi,@MrLangaro777,https://yt3.ggpht.com/ytc/AIdro_ndYHfTfAsF5baFlUHPU79HJIM9LS97CdwUQBHIgQB_LOo=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@MrLangaro777,UCNt2IfGXj7jxvKWUzHVFFLA,True,none,1.0,2024-04-02T15:59:25Z,2024-04-02T15:59:25Z,True,0.0,True,,,,,,,,,,,,,
youtube#commentThread,EGYNtUmTZjrCTB0_e9dts5-ag0o,UgySDDOKAGus0YxkpVl4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,J5dH-jKp-ac,youtube#comment,utKE7k2YfU8XQ8O-YZNgsMB7hmE,UgySDDOKAGus0YxkpVl4AaABAg,UCeYSnd34IPe57sM8hkjWhrw,J5dH-jKp-ac,Eventos históricos simultáneos que les parece,Eventos históricos simultáneos que les parece,@SeznoRuso,https://yt3.ggpht.com/ytc/AIdro_mr5B4YdurPIFp2jRbYvS8RP3MMCnoOlJ7LoXYS7Fl6tcw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@SeznoRuso,UC-xbJiocy51hTQyBVuEZheA,True,none,5.0,2024-04-02T15:47:45Z,2024-04-02T15:47:45Z,True,0.0,True,,,,,,,,,,,,,
youtube#comment,Vvkl__YJlEW7SkuysyZKCK0erOU,UgwxjFZQKBM5e9O9vwV4AaABAg.A1y0Ia4M8WzA2FsRNLqJJ2,UCeYSnd34IPe57sM8hkjWhrw,J5dH-jKp-ac,,,,,,,,,,,,,,,,,,,,,"Venía a buscar ese comentario, no lo dejó hablar casi y queriendo dejarlo como idiota.","Venía a buscar ese comentario, no lo dejó hablar casi y queriendo dejarlo como idiota.",UgwxjFZQKBM5e9O9vwV4AaABAg,@gisellesoledadcastillo954,https://yt3.ggpht.com/ytc/AIdro_m1gAs1CmntkV5KCNOOpNwVmDl71DdJ2LX8A91gbCRDOSYe=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@gisellesoledadcastillo954,UChnqRqvSYWoFPwKrBr-1I2w,True,none,0.0,2024-04-15T15:22:55Z,2024-04-15T15:22:55Z
youtube#comment,IBN7lv5K1NfG_YhBI8fDdGbLtdc,UgyN2jmOXzTac6TdU-94AaABAg.A1kMCtBdThSA1klkKz3A7V,UCeYSnd34IPe57sM8hkjWhrw,J5dH-jKp-ac,,,,,,,,,,,,,,,,,,,,,Pues buscate un documental de History Channel nmms si no es tu estilo,Pues buscate un documental de History Channel nmms si no es tu estilo,UgyN2jmOXzTac6TdU-94AaABAg,@jajames0696,https://yt3.ggpht.com/IP-pnO38bqzHbFB2dKIkalmfSdPH69oJJRsdhHtToL2nyiqTV0O4JzroqSGG_eHOvhH-JmB1dRE=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@jajames0696,UCetPp1g7kczVhfddYYWZX3A,True,none,4.0,2024-04-03T04:08:47Z,2024-04-03T04:08:47Z
youtube#comment,j5rgX2qrWct8QGapwKl8f3NpWFo,UgyN2jmOXzTac6TdU-94AaABAg.A1kMCtBdThSA1lcqjkWn2f,UCeYSnd34IPe57sM8hkjWhrw,J5dH-jKp-ac,,,,,,,,,,,,,,,,,,,,,Que triste que odies... Puedes hacer uso de tu derecho de expresión y luego con eso limpiarte la cola e irte a buscar lo que cumpla tus expectativas. <br>PD Tienes 0 carisma 😊,"Que triste que odies... Puedes hacer uso de tu derecho de expresión y luego con eso limpiarte la cola e irte a buscar lo que cumpla tus expectativas. 
PD Tienes 0 carisma 😊",UgyN2jmOXzTac6TdU-94AaABAg,@luceroaguilar1270,https://yt3.ggpht.com/ytc/AIdro_kSmIPpEfYu5w4oV0Y5QjHKOArAmAED17v3BZyCTUhOuqs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@luceroaguilar1270,UCGec13PBm30wtXfKq6m11uA,True,none,0.0,2024-04-03T12:10:15Z,2024-04-03T12:10:15Z
youtube#comment,nFLAg-TKo2SNSzRrE5ExdvXcvFE,UgyN2jmOXzTac6TdU-94AaABAg.A1kMCtBdThSA1mia-XxAtP,UCeYSnd34IPe57sM8hkjWhrw,J5dH-jKp-ac,,,,,,,,,,,,,,,,,,,,,"Hay muchisimos podcast de historia , no es único , no entiendo como se quedan escuchando algo que nos les gusta","Hay muchisimos podcast de historia , no es único , no entiendo como se quedan escuchando algo que nos les gusta",UgyN2jmOXzTac6TdU-94AaABAg,@melissaaltamirano4443,https://yt3.ggpht.com/ytc/AIdro_lTIlqHZ5sahHFU5ykvZ3AT5SJNCsyZs2DbFshcIBw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@melissaaltamirano4443,UCFi3Bd0nhy6NDOpAH00x9hQ,True,none,1.0,2024-04-03T22:19:38Z,2024-04-03T22:19:38Z
youtube#comment,4HgRGwFoamiQIVkubw5jFifGSs8,UgxF-J-ZEdCvaNw5t4x4AaABAg.A1k1_shmeIYA1tfw3Dadep,UCeYSnd34IPe57sM8hkjWhrw,J5dH-jKp-ac,,,,,,,,,,,,,,,,,,,,,"<a href=""https://www.youtube.com/watch?v=J5dH-jKp-ac&amp;t=3540"">59:00</a>",59:00,UgxF-J-ZEdCvaNw5t4x4AaABAg,@kevinconchap339,https://yt3.ggpht.com/ytc/AIdro_kvlWfpFiGDsOuWN8WC7fbTg_M3GnIyZoNdq97hjvUJDaKXfd4Br8mhKtbUbhXvgfORVQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@kevinconchap339,UC-Wb1tBo_2jugPphqQzN_Bw,True,none,0.0,2024-04-06T15:11:07Z,2024-04-06T15:11:07Z
youtube#comment,tWAWupCG6MB0yu5gF2m9zuKCi8s,Ugx3dX2JoR_JM1r0N5V4AaABAg.A1k0js1edIBA1kBHgCYcv6,UCeYSnd34IPe57sM8hkjWhrw,J5dH-jKp-ac,,,,,,,,,,,,,,,,,,,,,yo los escucho tambien desde Irlanda,yo los escucho tambien desde Irlanda,Ugx3dX2JoR_JM1r0N5V4AaABAg,@isainarvaez1425,https://yt3.ggpht.com/ytc/AIdro_kBOaaQm4SErc65LJmrT5gMIMWh4H6qVNLj5oTEpT7youQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@isainarvaez1425,UCaug6ru67F6stYmkr1f66Zg,True,none,0.0,2024-04-02T22:41:25Z,2024-04-02T22:41:25Z
youtube#comment,cb8csZYChFY_d0WycyzPlEx4fvQ,UgxFo-fRU2MSqEue0K94AaABAg.A1jwsnxg_bnA1kjz0uruD2,UCeYSnd34IPe57sM8hkjWhrw,J5dH-jKp-ac,,,,,,,,,,,,,,,,,,,,,me uno,me uno,UgxFo-fRU2MSqEue0K94AaABAg,@cesarperez8418,https://yt3.ggpht.com/ytc/AIdro_mCkxSl15tnoMYNH_WJz-XR0vwVtrFMbsiC6UcbGEZWvQw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@cesarperez8418,UCZVKqjx9lu_DkvqlglODDUg,True,none,1.0,2024-04-03T03:53:18Z,2024-04-03T03:53:18Z
youtube#comment,SRllJw9VCQKM-Y4FVL6YTytxrTE,Ugx-XgdsV8AwWYFIXGd4AaABAg.A1jWHIsHALZA1miAWL6fhp,UCeYSnd34IPe57sM8hkjWhrw,J5dH-jKp-ac,,,,,,,,,,,,,,,,,,,,,"Escúchate el capítulo de los mormones en: herejes el potcast, muy bueno","Escúchate el capítulo de los mormones en: herejes el potcast, muy bueno",Ugx-XgdsV8AwWYFIXGd4AaABAg,@melissaaltamirano4443,https://yt3.ggpht.com/ytc/AIdro_lTIlqHZ5sahHFU5ykvZ3AT5SJNCsyZs2DbFshcIBw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@melissaaltamirano4443,UCFi3Bd0nhy6NDOpAH00x9hQ,True,none,0.0,2024-04-03T22:16:01Z,2024-04-03T22:16:01Z
